time,source,keyword,frame,D/H,link,relevancy,immigrant category
7,1,1,2,0,https://metro.co.uk/2023/07/25/i-was-tortured-in-ethiopia-the-uk-asylum-system-feels-like-another-jail-19087649/,0,5
7,1,1,12,0,https://metro.co.uk/2023/08/28/search-for-women-fed-radioactive-chapatis-during-1960s-experiment-19408003/,1,5
9,1,1,9,1,https://metro.co.uk/2023/09/01/why-you-should-always-ask-if-someone-wants-kids-on-the-first-date-19430150/,1,5
9,1,1,2,0,https://metro.co.uk/2023/09/27/i-organised-nigerias-first-ever-pride-event-then-had-to-flee-16025662/,0,5
10,1,1,13,1,https://metro.co.uk/2023/10/04/how-70000-black-children-were-privately-farmed-to-white-families-19576461/,0,5
11,1,1,8,1,https://metro.co.uk/2023/11/08/im-the-first-black-female-swimmer-for-team-gb-its-taken-too-long-19708024/,1,5
11,1,1,11,0,https://metro.co.uk/2023/11/18/nigel-farages-controversies-im-a-celeb-fans-sickened-lineup-19843128/,0,5
11,1,1,11,1,https://metro.co.uk/2023/11/22/im-a-celebritys-nella-rose-confronts-nigel-farage-heated-clash-19865729/,0,5
11,1,1,12,0,https://metro.co.uk/2023/11/23/we-arent-tolerant-pc-despite-it-19870834/,0,5
12,1,1,4,0,https://metro.co.uk/2023/12/03/rwanda-given-15-000-000-take-migrants-arrive-uk-19918830/,0,5
12,1,1,13,1,https://metro.co.uk/2023/12/06/love-priceless-this-government-made-rich-19933770/,0,5
12,1,1,9,1,https://metro.co.uk/2023/12/10/stabbed-a-racist-attack-aged-11-now-fight-girls-like-19941883/,1,5
12,1,1,13,1,https://metro.co.uk/2023/12/10/gran-facing-deportation-uk-42-years-told-can-stay-19953675/,1,5
12,1,1,11,0,https://metro.co.uk/video/trump-denies-taking-inspiration-hitlers-mein-kampf-anti-immigrant-rhetoric-3085963/,0,5
12,1,1,9,1,https://metro.co.uk/2023/12/27/say-name-correctly-damage-every-time-dont-19979527/,1,5
12,1,1,13,1,https://metro.co.uk/2023/12/27/spent-40-000-study-london-international-student-20003312/,1,5
13,1,1,13,1,https://metro.co.uk/2024/01/19/kelly-osbourne-addresses-shocking-racist-latino-comments-20139886/,0,5
14,1,1,2,0,https://metro.co.uk/2024/02/01/man-charged-raping-woman-whiston-hospital-shocking-attack-20211157/,1,5
14,1,1,2,0,https://metro.co.uk/2024/02/02/may-laugh-eye-rolling-can-discrimination-20214805/,1,5
14,1,1,12,0,https://metro.co.uk/video/man-assaults-dozen-women-unprovoked-barcelona-metro-3121401/,1,5
14,1,1,1,1,https://metro.co.uk/2024/02/12/always-wear-a-mask-protest-not-can-commit-crimes-20265711/,1,6
15,1,1,2,0,https://metro.co.uk/2024/03/15/im-a-child-asylum-seeker-home-office-says-im-26-20465326/,0,5
16,1,1,12,0,https://metro.co.uk/2024/04/02/came-uk-small-boat-no-choice-20571878/,0,5
17,1,1,3,0,https://metro.co.uk/2024/05/02/protesters-slash-tyres-coach-taking-asylum-seekers-bibby-stockholm-barge-20763810/,0,5
17,1,1,9,1,https://metro.co.uk/2024/05/17/someone-asks-im-really-answer-this-question-20853390/,1,5
17,1,1,11,0,https://metro.co.uk/video/trump-spouts-believes-illegal-migrants-building-army-bronx-rally-3196583/,0,5
18,1,1,2,0,https://metro.co.uk/2024/06/05/refused-speak-sister-27-years-found-a-secret-20691416/,1,5
18,1,1,9,1,https://metro.co.uk/2024/06/10/tories-latest-visa-hike-tear-family-apart-21006675/,1,5
18,1,1,4,0,https://metro.co.uk/2024/06/27/iraqi-girl-16-choked-death-raped-sinking-migrant-boat-21119230/,1,5
18,1,1,12,0,https://metro.co.uk/video/video-emerges-female-prison-guard-having-sex-hmp-wandsworth-inmate-3221737/,1,5
18,1,1,11,0,https://metro.co.uk/video/reform-activist-filmed-calling-rishi-sunak-p-i-3221251/,0,5
